Country;Net Average Monthly Salary
Ireland;3349
Iceland;4040
UK;2778
Denmark;4666
Sweden;3207
Norway;3528
Finland;2877
Russia;888
Estonia;1753
Latvia;1376
Lituania;1544
Bielorus;788
Ukraine;423
Moldavia;651
Georgia;579
Armenia;541
Azerbaidjan;396
Cyprus;2023
Turkey;870
France;2733
Spain;2048
Portugal;1342
Andorra;2351
San Marino;2629
Italy;2017
Croatia;1511
Slovenia;1653
Austria;3778
Switzerland;5811
Luxembourg;4086
Belgium;2463
Germany;3231
Netherlands;3771
Poland;1572
Czech Republic;1679
Slovakia;1182
Greece;1098
Bulgaria;1090
Romania;1161
Hungary;1184
Bosnia;861
Montenegro;1012
Kosovo;552
Serbia;1057
North Macedonia;738
Albania;692
Malta;1448
Kazakhstan;578
