country,residual_ppp,residual_nominal
Georgia,0.22614331956902367,0.22614331956902323
Denmark,0.1905213929544658,0.19052139295446668
Austria,0.14870217690174092,0.14870217690174137
Russia,0.1310184476948777,0.1310184476948777
Poland,0.11647293823834826,0.1164729382383487
Netherlands,0.10020440405672515,0.1002044040567256
Croatia,0.08135989091851092,0.08135989091851092
Ireland,0.07905936931956337,0.07905936931956381
Serbia,0.0781021694668711,0.0781021694668711
Luxembourg,0.07795454008638192,0.07795454008638192
